ABTB2	chr11	-	34358010
ACBD5	chr10	-	27243046
ACOT9	chrX	-	23743276
ACSL5	chr10	+	112375235
ACVR1C	chr2	-	157628864
ADAM23	chr2	+	206443532
ADAMTS13	chrCHR_HG2030_PATCH	+	133422148
ADAMTSL3	chr15	+	83654123
ADGRA1	chr10	+	133087924
ADGRF5	chr6	-	46921938
ADM	chr11	+	10305084
ADSS2	chr1	-	244451909
AHSG	chr3	+	186613060
AKAP1	chr17	+	57085717
ALDH1B1	chr9	+	38392702
ALDH7A1	chr5	-	126595219
ALDOC	chr17	-	28576948
ALG10B	chr12	+	38316774
ALLC	chr2	+	3658200
ANKRD13D	chr11	+	67289303
ANKRD62	chr18	+	12093843
ANKS1B	chr12	-	99984936
ANO9	chr11	-	442011
ANTKMT	chr16	+	721097
AP2A1	chr19	+	49767001
APCDD1L	chr20	-	58515399
APOLD1	chr12	+	12725931
APPBP2	chr17	-	60526242
ARHGAP11A	chrCHR_HSCHR15_4_CTG8	+	32695783
ARHGEF15	chr17	+	8310241
ARHGEF33	chr2	+	38889875
ARHGEF40	chr14	+	21070304
ARL16	chr17	-	81683797
ARL6IP1	chr16	-	18801549
ARMCX1	chrX	+	101550547
ARRDC1	chr9	+	137605686
ART4	chr12	-	14843526
ATAD5	chr17	+	30831966
ATP6V1E1	chr22	-	17628749
AVEN	chr15	-	34039204
AVP	chr20	-	3084724
B3GALT5	chr21	+	39556442
B3GNT9	chr16	-	67150998
B4GALT3	chr1	-	161177968
BCS1L	chr2	+	218659772
BEST2	chr19	+	12751702
BHLHA9	chr17	+	1270444
BMP8A	chr1	+	39491636
BRCA1	chr17	-	43125483
BRCA2	chr13	+	32315508
BTK	chrX	-	101390796
C19orf47	chr19	-	40348527
C1orf87	chr1	-	60073770
C1QC	chr1	+	22643626
C8orf82	chr8	-	144529111
CALML3	chr10	+	5524961
CASKIN1	chr16	-	2196605
CBFA2T3	chr16	-	88977207
CBY2	chr13	+	45703128
CCAR2	chr8	+	22605038
CCDC169	chr13	-	36297824
CCDC169-SOHLH2	chr13	-	36297842
CCHCR1	chr6	-	31157802
CCN4	chr8	+	133191039
CCNF	chr16	+	2429447
CCR8	chr3	+	39329709
CCSAP	chr1	-	229343047
CD177	chr19	+	43353686
CD44	chr11	+	35139171
CD5L	chr1	-	157841808
CD9	chr12	+	6199715
CDCA2	chr8	+	25459199
CDKL5	chrX	+	18425608
CEACAM3	chr19	+	41796587
CEP44	chr4	+	174283911
CFH	chr1	+	196651852
CFHR5	chr1	+	196977556
CHADL	chr22	-	41240931
CHCHD2	chr7	-	56106476
CHEK2	chr22	-	28741838
CHL1	chr3	+	196763
CHML	chr1	-	241640369
CHMP2A	chr19	-	58554990
CHN2	chr7	+	29194426
CHRM5	chr15	+	33968497
CLDN9	chr16	+	3012923
CLEC1B	chr12	-	10013424
CLTCL1	chr22	-	19291719
CMBL	chr5	-	10307902
CNN3	chr1	-	94927110
CNTN4	chr3	+	2238829
COL23A1	chr5	-	178590393
COL4A6	chrX	-	108438430
COL5A2	chr2	-	189179761
CPNE1	chr20	-	35664886
CPNE4	chr3	-	132285410
CPT1B	chr22	-	50578455
CPT2	chr1	+	53196800
CRACR2B	chr11	+	827919
CREB5	chr7	+	28412518
CREBL2	chr12	+	12611876
CRK	chr17	-	1456232
CSTB	chr21	-	43776318
CSTF2	chrX	+	100820391
CT47A7	chrX	-	120956600
CYB561D1	chr1	+	109494115
CYFIP2	chr5	+	157266123
CYGB	chr17	-	76537709
CYP2C19	chr10	+	94762681
CYP4F3	chr19	+	15640897
DAAM1	chr14	+	59188667
DDI2	chr1	+	15617458
DDRGK1	chr20	-	3204682
DEFB114	chr6	-	49964164
DMRTC1	chrX	-	72943837
DMWD	chr19	-	45792845
DNA2	chr10	-	68471973
DNM1L	chr12	+	32679685
DNMT3A	chr2	-	25342590
DPEP2	chr16	-	67993863
DPEP2NB	chr16	-	68015911
DPF1	chr19	-	38224250
DPP10	chr2	+	114442641
DRP2	chrX	+	101219786
EBF4	chr20	+	2692780
ELOVL7	chr5	-	60844215
ENPEP	chr4	+	110476155
EPS15L1	chr19	-	16435296
ERCC3	chr2	-	127294144
ETHE1	chr19	-	43527201
ETNK2	chr1	-	204152044
EVA1A	chr2	-	75560939
FAF2	chr5	+	176448385
FAM124A	chr13	+	51222398
FAM131A	chr3	+	184337205
FAM149B1	chr10	+	73168119
FAM178B	chr2	-	96986580
FAM219A	chr9	-	34458570
FAM43B	chr1	+	20552573
FBXL2	chr3	+	33277442
FBXL5	chr4	-	15655357
FCHSD1	chr5	-	141651418
FEM1A	chr19	+	4791734
FILIP1	chr6	-	75493629
FNBP1L	chr1	+	93448131
FNBP4	chrCHR_HG2114_PATCH	-	47771882
FNDC8	chr17	+	35121615
FOSL2	chr2	+	28392858
FOXA1	chr14	-	37595249
FOXD4L5	chr9	-	65285209
FSD1L	chr9	+	105448034
