A1BG	chr19	-	58864858
A1BG-AS1	chr19	+	58863335
A1CF	chr10	-	52645387
A2M	chr12	-	9268825
A2M-AS1	chr12	+	9217772
A2ML1	chr12	+	8975216
A2MP1	chr12	-	9386803
A3GALT2	chr1	-	33786699
A4GALT	chr22	-	43117307
A4GNT	chr3	-	137851232
AA06	chr17	-	31860779
AAAS	chr12	-	53715394
AACS	chr12	+	125549980
AACSP1	chr5	-	178245436
AADAC	chr3	+	151531903
AADACL2	chr3	+	151451714
AADACL2-AS1	chr3	-	151645963
AADACL3	chr1	+	12776112
AADACL4	chr1	+	12704103
AADACP1	chr3	+	151488243
AADAT	chr4	-	171011538
AAGAB	chr15	-	67547536
AAK1	chr2	-	69870871
AAMDC	chr11	+	77532189
AAMP	chr2	-	219134860
AANAT	chr17	+	74449432
AAR2	chr20	+	34824399
AARD	chr8	+	117950445
AARS1	chr16	-	70323409
AARS2	chr6	-	44281084
AARSD1	chr17	-	41116471
AASDH	chr4	-	57253657
AASDHPPT	chr11	+	105948388
AASS	chr7	-	121784303
AATBC	chr21	-	45232448
AATF	chr17	+	35306253
AATK	chr17	-	79140021
ABALON	chr20	+	30309309
ABAT	chr16	+	8768473
ABCA1	chr9	-	107690436
ABCA10	chr17	-	67240989
ABCA11P	chr4	-	467998
ABCA12	chr2	-	216003349
ABCA13	chr7	+	48211054
ABCA17P	chr16	+	2390922
ABCA2	chr9	-	139923374
ABCA3	chr16	-	2390729
ABCA4	chr1	-	94586704
ABCA5	chr17	-	67323274
ABCA6	chr17	-	67138036
ABCA7	chr19	+	1040105
ABCA8	chr17	-	66951533
ABCA9	chr17	-	67057068
ABCA9-AS1	chr17	+	67000854
ABCB1	chr7	-	87342611
ABCB10	chr1	-	229694454
ABCB11	chr2	-	169887834
ABCB4	chr7	-	87104996
ABCB5	chr7	+	20655289
ABCB6	chr2	-	220083680
ABCB7	chrX	-	74376118
ABCB8	chr7	+	150725536
ABCB9	chr12	-	123451010
ABCC1	chr16	+	16043472
ABCC10	chr6	+	43395278
ABCC11	chr16	-	48281450
ABCC12	chr16	-	48189904
ABCC13	chr21	+	15646119
ABCC2	chr10	+	101542396
ABCC3	chr17	+	48712241
ABCC4	chr13	-	95953705
ABCC5	chr3	-	183735672
ABCC5-AS1	chr3	+	183724125
ABCC6	chr16	-	16317351
ABCC6P1	chr16	+	18582569
ABCC6P2	chr16	-	14918559
ABCC8	chr11	-	17498392
ABCC9	chr12	-	22094360
ABCD1	chrX	+	152990310
ABCD2	chr12	-	40013605
ABCD3	chr1	+	94883944
ABCD4	chr14	-	74769637
ABCE1	chr4	+	146019462
ABCF1	chr6	+	30539218
ABCF2	chr7	-	150924291
ABCF2-H2BK1	chr7	-	150924291
ABCF3	chr3	+	183903986
ABCG1	chr21	+	43619798
ABCG2	chr4	-	89152778
ABCG4	chr11	+	119019761
ABCG5	chr2	-	44065978
ABCG8	chr2	+	44066109
ABHD1	chr2	+	27346682
ABHD10	chr3	+	111697872
ABHD11	chr7	-	73153132
ABHD11-AS1	chr7	+	73149398
ABHD12	chr20	-	25371471
ABHD12B	chr14	+	51338770
ABHD13	chr13	+	108870739
ABHD14A	chr3	+	52009079
ABHD14A-ACY1	chr3	+	52009079
ABHD14B	chr3	-	52008646
ABHD15	chr17	-	27894055
ABHD16A	chr6_ssto_hap7	-	3001919
ABHD16B	chr20	+	62492850
ABHD17A	chr19	-	1885495
ABHD17B	chr9	-	74526109
ABHD17C	chr15	+	80987650
ABHD18	chr4	+	128886560
ABHD2	chr15	+	89631686
ABHD3	chr18	-	19284735
ABHD4	chr14	+	23067208
ABHD5	chr3	+	43732429
ABHD6	chr3	+	58223518
ABHD8	chr19	-	17414234
ABI1	chr10	-	27149887
ABI2	chr2	+	204193116
ABI3	chr17	+	47288068
ABI3BP	chr3	-	100712265
ABITRAM	chr9	+	111696679
ABL1	chr9	+	133588429
ABL2	chr1	-	179198812
ABLIM1	chr10	-	116528063
ABLIM2	chr4	-	8160540
ABLIM3	chr5	+	148521055
ABO	chr9_gl339450_fix	-	101295
ABR	chr17	-	1133016
ABRA	chr8	-	107782472
ABRACL	chr6	+	139349881
ABRAXAS1	chr4	-	84406253
ABRAXAS2	chr10	+	126490387
ABT1	chr6	+	26597180
ABTB1	chr3	+	127391794
ABTB2	chr11	-	34379557
ACAA1	chr3	-	38178618
ACAA2	chr18	-	47339903
ACACA	chr17	-	35766927
ACACB	chr12	+	109554391
ACAD10	chr12	+	112123856
ACAD11	chr3	-	132378653
ACAD8	chr11	+	134123461
ACAD9	chr3	+	128598462
ACADL	chr2	-	211090171
ACADM	chr1	+	76190393
ACADS	chr12	+	121163628
ACADSB	chr10	+	124768521
ACADVL	chr17	+	7120443
ACAN	chr15	+	89346666
ACAP1	chr17	+	7239847
ACAP2	chr3	-	195163749
ACAP3	chr1	-	1243310
ACAT1	chr11	+	107987431
ACAT2	chr6	+	160183076
ACBD3	chr1	-	226374442
ACBD3-AS1	chr1	+	226335703
ACBD4	chr17	+	43209985
ACBD5	chr10	-	27529808
ACBD6	chr1	-	180471712
ACBD7	chr10	-	15130775
ACBD7-DCLRE1CP1	chr10	-	15130775
ACCS	chr11	+	44087819
ACCSL	chr11	+	44069530
ACD	chr16	-	67694163
ACE	chr17	+	61554421
ACE2	chrX	-	15619083
ACER1	chr19	-	6333623
ACER2	chr9	+	19409006
ACER3	chr11	+	76571961
ACHE	chr7	-	100494614
ACIN1	chr14	-	23564823
ACKR1	chr1	+	159174664
ACKR2	chr3	+	42850936
ACKR3	chr2	+	237478467
ACKR4	chr3	+	132316113
ACLY	chr17	-	40075275
ACMSD	chr2	+	135596185
ACO1	chr9	+	32384640
ACO2	chr22	+	41865120
ACOD1	chr13	+	77522645
ACOT1	chr14	+	74003846
ACOT11	chr1	+	55013900
ACOT12	chr5	-	80689953
ACOT13	chr6	+	24667304
ACOT2	chr14	+	74034323
ACOT4	chr14	+	74058576
ACOT6	chr14	+	74077648
ACOT7	chr1	-	6453827
ACOT8	chr20	-	44486031
ACOT9	chrX	-	23761393
ACOX1	chr17	-	73975247
ACOX2	chr3	-	58522917
ACOX3	chr4	-	8442450
ACOXL	chr2	+	111490149
ACOXL-AS1	chr2	-	111873165
ACP1	chr2	+	264946
ACP2	chr11	-	47270365
ACP3	chr3	+	132036250
ACP4	chr19	+	51293671
ACP5	chr19	-	11689790
ACP6	chr1	-	147142646
ACP7	chr19	+	39575007
ACR	chr22	+	51176631
ACRBP	chr12	-	6756598
ACRV1	chr11	-	125550742
ACSBG1	chr15	-	78526907
ACSBG2	chr19	+	6135643
ACSF2	chr17	+	48503578
ACSF3	chr16	+	89160259
ACSL1	chr4	-	185747122
ACSL3	chr2	+	223725753
ACSL4	chrX	-	108976486
ACSL5	chr10	+	114133873
ACSL6	chr5	-	131347761
ACSM1	chr16	-	20709002
ACSM2A	chr16	+	20462842
ACSM2B	chr16	-	20587689
ACSM3	chr16	+	20775335
ACSM4	chr12	+	7456667
ACSM5	chr16	+	20420855
ACSM6	chr10	+	96953994
ACSS1	chr20	-	25038775
ACSS2	chr20	+	33462791
ACSS3	chr12	+	81471857
ACTA1	chr1	-	229569841
ACTA2	chr10	-	90751154
ACTA2-AS1	chr10	+	90692440
ACTB	chr7	-	5570232
ACTBL2	chr5	-	56778638
ACTC1	chr15	-	35087750
ACTE1P	chr11	-	71134400
ACTG1	chr17	-	79479825
ACTG1P17	chr15	-	83408532
ACTG1P20	chr1	+	27650364
ACTG1P25	chr1	+	202830881
ACTG1P4	chr1	+	104112025
ACTG2	chr2	+	74120134
ACTL10	chr20	+	32254748
ACTL6A	chr3	+	179280713
ACTL6B	chr7	-	100254071
ACTL7A	chr9	+	111624545
ACTL7B	chr9	-	111618266
ACTL8	chr1	+	18081827
ACTL9	chr19	-	8809145
ACTN1	chr14	-	69446019
ACTN1-DT	chr14	+	69446398
ACTN2	chr1	+	236849798
ACTN3	chr11	+	66313865
ACTN4	chr19	+	39138288
ACTR10	chr14	+	58666866
ACTR1A	chr10	-	104262469
ACTR1B	chr2	-	98280507
ACTR2	chr2	+	65454964
ACTR3	chr2	+	114647665
ACTR3-AS1	chr2	-	114648569
ACTR3B	chr7	+	152456836
ACTR3BP2	chr2	+	92129158
ACTR3BP5	chr10	+	38989726
